1		
1	1	1
2	6	1
2	13	1
3	3	1
2		
1	1	2
3	6	2
4	10	2
3		
1	1	1
1	6	1
2	1	1
2	2	2
3	6	2
3	7	1
4	10	2
4		
1	1	2
2	1	2
2	2	2
3	6	2
3	10	2
5		
1	1	1
3	6	1
3	10	1
4	10	1
6		
1	1	2
2	9	2
3	7	2
7		
1	1	2
2	9	2
3	7	2
3	10	1
8		
1	1	1
2	1	1
2	2	1
2	13	1
3	3	1
3	4	1
4	10	1
9		
1	1	2
2	2	2
10		
1	1	2
2	1	2
2	2	2
3	9	2
11		
1	1	2
2	1	2
2	2	2
3	9	2
12		
1	1	2
3	1	2
3	6	2
13		
1	1	2
1	4	2
3	4	2
3	6	2
14		
1	1	2
2	1	2
2	4	2
3	1	2
3	6	1
3	7	2
4	11	1
15		
1	1	2
2	1	1
2	6	2
3	1	1
3	6	2
16		
1	1	1
3	1	1
3	6	1
17		
1	1	2
3	1	2
3	12	2
18		
1	1	2
3	6	2
4	12	1
19		
1	1	1
3	5	1
3	6	1
20		
1	1	1
3	1	1
3	6	1
3	8	1
4	11	1
21		
1	1	2
2	1	2
2	2	2
2	13	2
3	10	2
4	10	2
22		
1	1	2
2	4	2
3	3	2
3	6	1
23		
1	1	1
1	4	1
2	1	2
2	2	2
2	4	2
3	1	2
3	2	1
24		
1	1	1
2	2	1
2	4	1
3	1	1
3	6	1
25		
1	1	2
3	6	2
26		
1	1	2
2	1	2
2	2	2
2	13	2
3	6	2
3	7	2
4	10	2
27		
1	1	2
2	6	2
2	13	2
3	1	1
3	6	2
28		
1	1	1
1	4	1
2	13	2
29		
1	1	2
2	2	2
2	13	2
30		
1	1	2
2	1	2
2	2	2
2	13	2
3	6	2
4	10	2
31		
1	1	2
2	4	2
3	6	2
32		
1	1	2
2	4	2
3	6	2
33		
1	1	2
2	13	2
3	1	2
3	6	2
3	12	2
34		
1	1	2
3	1	1
3	10	2
3	11	1
4	10	1
35		
1	1	2
2	1	2
2	2	1
3	6	1
3	10	2
36		
1	1	2
2	6	1
3	1	2
4	10	1
37		
1	1	2
2	1	2
2	2	2
3	1	2
38		
1	1	1
2	2	1
3	1	1
39		
1	1	2
2	2	2
3	6	2
4	11	2
40		
1	1	1
1	3	1
2	2	2
2	13	2
3	6	2
41		
1	1	2
2	1	2
2	2	2
2	13	1
3	6	2
42		
1	1	2
2	13	1
3	2	2
3	4	2
3	6	2
43		
1	1	2
2	1	2
2	2	2
3	6	1
3	9	2
44		
1	1	2
2	1	2
2	2	2
3	2	2
45		
1	1	2
2	11	2
3	6	2
4	3	2
46		
1	1	2
2	1	2
2	2	2
3	1	2
4	5	1
47		
1	1	2
2	2	1
2	13	2
3	1	1
48		
1	1	2
2	13	2
3	9	2
49		
1	1	1
2	2	1
3	2	1
50		
1	1	1
2	1	1
2	2	1
3	1	1
3	4	1
3	6	1
51		
1	1	2
2	2	2
3	6	2
52		
1	1	2
3	6	2
4	10	1
53		
1	1	1
2	1	1
2	2	1
3	1	1
3	4	1
3	6	1
3	11	1
4	10	1
4	12	1
4	13	1
54		
1	1	2
2	2	2
3	6	2
4	10	2
4	16	2
55		
1	1	1
2	1	1
2	2	1
3	6	1
3	7	1
56		
1	1	2
3	2	1
3	4	1
3	6	1
3	8	1
4	10	2
4	12	1
57		
1	1	1
2	1	1
2	2	1
3	11	1
4	10	1
58		
1	1	2
2	13	2
3	6	2
59		
1	1	2
2	4	2
3	3	2
60		
1	1	2
2	4	2
3	4	2
3	6	2
4	11	2
61		
1	1	1
2	10	1
3	1	1
3	6	1
62		
1	1	2
2	2	2
3	12	2
63		
1	1	2
2	2	2
2	4	2
3	1	1
3	3	2
64		
1	1	2
2	2	1
2	5	1
3	6	2
65		
1	1	2
2	4	2
3	1	2
3	6	2
66		
1	1	2
2	4	2
3	3	2
67		
1	1	1
2	4	1
3	1	1
3	4	1
3	6	1
68		
1	1	2
2	1	2
2	2	2
3	5	1
3	10	2
4	10	2
69		
1	1	2
3	12	2
70		
1	1	2
2	9	2
3	6	1
3	10	2
71		
1	1	2
2	4	2
3	3	1
72		
1	1	2
2	4	2
3	6	2
73		
1	1	2
2	1	1
2	2	2
2	8	2
3	10	2
4	10	1
74		
1	1	1
2	10	1
75		
1	1	2
3	6	1
4	10	1
76		
1	1	2
3	12	2
77		
1	1	2
2	9	2
3	1	2
3	6	2
78		
1	1	2
2	4	2
3	6	2
79		
1	1	1
3	1	1
4	10	1
80		
1	1	2
2	4	2
3	3	1
81		
1	1	1
2	1	2
2	13	2
3	6	1
3	8	1
4	13	1
82		
1	1	1
2	5	2
2	13	1
3	2	2
4	10	2
83		
1	1	2
2	13	2
3	11	2
84		
1	1	2
2	1	2
2	3	2
2	13	2
3	6	1
85		
1	1	2
3	5	1
3	6	2
4	12	1
86		
1	1	2
3	6	2
87		
1	1	2
2	2	2
2	6	1
3	6	2
88		
1	1	2
2	10	2
3	6	2
4	11	2
89		
1	1	2
2	4	2
3	6	2
90		
1	1	2
2	10	2
3	6	2
91		
1	1	2
2	4	2
3	6	2
92		
1	1	2
2	13	2
3	3	2
3	6	2
93		
1	1	1
2	2	1
3	6	1
4	11	1
94		
1	1	1
2	2	1
3	6	1
95		
1	1	2
2	4	2
3	6	1
96		
1	1	1
2	3	1
2	4	1
3	6	1
97		
1	1	2
3	10	2
4	2	2
98		
1	1	2
2	1	2
2	2	2
3	6	2
99		
1	1	2
2	4	2
3	1	1
3	6	2
100		
1	1	2
2	11	2
3	6	2
4	3	2
4	9	2
101		
1	1	1
2	4	1
3	1	1
3	6	1
102		
1	1	2
2	10	2
3	6	2
4	11	2
103		
1	1	1
2	4	1
3	1	1
3	3	1
3	4	1
3	6	1
104		
1	1	2
1	8	2
2	2	2
3	6	2
105		
1	1	2
2	4	2
3	1	1
3	5	1
3	6	2
106		
1	1	1
2	4	1
3	1	1
3	3	1
3	4	1
3	6	1
107		
1	1	2
2	1	2
2	4	2
3	6	2
108		
1	1	2
2	4	2
3	3	1
109		
1	1	1
2	4	1
3	1	1
3	3	1
3	4	1
3	6	1
110		
1	1	2
2	4	2
3	6	2
111		
1	1	2
1	4	2
2	1	2
2	2	2
3	6	2
112		
1	1	2
2	2	2
3	5	1
3	6	1
113		
1	1	2
2	4	2
3	6	2
4	11	2
114		
1	1	1
2	1	1
2	4	1
3	6	1
115		
1	1	1
1	4	1
2	1	2
2	2	2
3	1	1
116		
1	1	2
2	2	2
3	6	2
117		
1	1	2
2	4	2
3	3	1
118		
1	1	2
2	2	2
2	3	2
3	6	2
119		
1	1	1
3	1	1
3	6	1
120		
1	1	2
2	5	1
3	1	2
121		
1	1	2
2	1	2
2	2	2
2	13	2
3	1	2
122		
1	1	2
3	12	2
123		
1	1	2
2	1	2
2	2	2
2	13	2
3	1	2
124		
1	1	2
2	2	2
3	2	2
125		
1	1	1
4	10	2
126		
1	1	2
2	1	2
2	2	2
3	10	2
127		
1	1	2
3	7	2
4	10	2
128		
